Class	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Combined
chr2.202141662.202141686	1	69.62472011	70.42812089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.62472011
chr2.202131467.202131491	1	85.14414003	85.80553314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	65.14414003
chr2.202149896.202149920	1	50.0621085	50.80468818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30.0621085
chr2.202149917.202149941	1	47.96940774	48.70069872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27.96940774
chr2.202131164.202131188	0	58.18045866	58.97052293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38.18045866
chr2.202131270.202131294	1	93.75076737	94.18985067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	73.75076737
chr2.202122942.202122966	0	99.52739282	99.57883632	50	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	74.76369641
chr2.202123023.202123047	0	90.82574998	91.37591108	58	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	74.41287499
chr2.202131279.202131303	1	14.66870487	14.79724228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-5.33129513
chr2.202149583.202149607	1	84.77620844	85.45781889	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.88810422
chr2.202137457.202137481	1	31.78417876	32.306407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.78417876
chr2.202131329.202131353	1	81.33459726	82.06114884	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	78.16729863
chr2.202149676.202149700	0	64.76454996	65.58404362	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.38227498
chr2.202131342.202131366	0	3.839076112	3.70378228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-16.160923888
chr2.202149681.202149705	1	24.13323703	24.50888014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13323703
chr2.202131386.202131410	1	96.01749731	96.34135546	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	83.008748655
chr2.202137383.202137407	0	52.19791099	52.97023908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.19791099
chr2.202149635.202149659	1	91.79397159	92.31337884	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.396985795
chr2.202131437.202131461	1	1.821075154	1.696908467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-18.178924846
chr2.202122959.202122983	0	98.24802033	98.415753	70	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	84.124010165
chr2.202137384.202137408	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20
chr2.202149666.202149690	1	39.71721735	40.36210419	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.358608675
chr2.202149869.202149893	1	13.49975979	13.59308142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-6.50024021
chr2.202149990.202150014	1	56.4630636	57.23030564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	36.4630636
chr2.202150012.202150036	1	3.805228913	3.669947261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16.194771087
chr2.202131285.202131309	1	69.13109669	69.93570249	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	53.065548345
chr2.202131304.202131328	1	66.24254431	67.03364554	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	73.121272155
chr2.202141566.202141590	1	97.57321485	97.78510484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.57321485
chr2.202149696.202149720	1	39.93434823	40.58245246	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.467174115
chr22.18222195.18222219	0	78.22872964	78.97934564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58.22872964
chr22.18222102.18222126	0	55.35008807	56.12867403	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	61.675044035
chr22.18222118.18222142	1	95.5772625	95.92472751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	75.5772625
chr22.18222122.18222146	0	52.12472287	52.89949646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	32.12472287
chr8.23054630.23054654	1	77.68780126	78.44478893	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.34390063
chr8.23054660.23054684	0	22.13757965	22.47471884	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.068789825
chr8.23054683.23054707	0	85.86979005	86.51811691	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.934895025
chr8.23054686.23054710	0	90.55124846	91.11075427	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.27562423
chr8.23069708.23069732	0	97.25734453	97.48432067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.25734453
chr8.23069709.23069733	0	97.13062032	97.36964739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.13062032
chr8.23069644.23069668	0	31.66246895	32.1880393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.66246895
chr8.22887121.22887145	1	73.4065362	74.19529353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	53.4065362
chr8.22887162.22887186	1	58.18672666	58.9763389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	38.18672666
chr8.22887128.22887152	0	24.46046349	24.84620613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4.46046349
chr8.22887181.22887205	0	8.541513884	8.486115206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-11.458486116
chr8.22888313.22888337	1	54.6644795	55.4381836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	34.6644795
chr8.22888362.22888386	0	60.0399161	60.83569203	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	60.01995805
chr4.185556508.185556532	1	37.80927509	38.43303263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.80927509
chr4.185559602.185559626	0	67.64432715	68.45559419	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.822163575
chr4.185550640.185550664	0	82.32733781	83.05780045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.32733781
chr4.185553026.185553050	1	49.64705631	50.38096402	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.823528155
chr4.185556506.185556530	0	2.142291706	2.012580043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17.857708294
chr4.185556524.185556548	1	37.53886621	38.15730467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.53886621
chr4.185550640.185550664.1	0	82.32733781	83.05780045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.32733781
chr4.185556542.185556566	0	61.82327264	62.62975272	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.91163632
chr11.70052254.70052278	0	57.07448854	57.84829768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	37.07448854
chr11.70049558.70049582	0	54.55147115	55.32464426	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	34.55147115
chr11.70052404.70052428	1	97.92787302	98.12345502	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	89.96393651
chr11.70049715.70049739	0	72.78261213	73.58432455	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	52.78261213
chr11.70049716.70049740	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	-20
chr11.70049773.70049797	1	39.54521606	40.19384356	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	19.54521606
chr11.70052501.70052525	0	72.81981455	73.61943981	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	64.909907275
chr11.70052502.70052526	1	97.43985393	97.65821437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	77.43985393
chr11.70049801.70049825	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	-20
chr11.70052356.70052380	1	58.15564476	58.94480832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	38.15564476
chr11.70049832.70049856	0	0	0	42	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	21
chr11.70052430.70052454	0	69.33351621	70.14076099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	49.33351621
chr11.70049839.70049863	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	-20
chr11.70052463.70052487	1	53.88698944	54.65822242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	33.88698944
chr11.70052228.70052252	0	31.48209804	32.00445232	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	34.24104902
chr11.70052498.70052522	0	50.19734982	50.94112561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	30.19734982
chr11.70052499.70052523	0	6.057579321	5.957523701	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	6.0287896605
chr11.70049546.70049570	0	89.58660329	90.1719331	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	69.58660329
chr11.70049558.70049582.1	0	54.55147115	55.32464426	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	34.55147115
chr11.70049575.70049599	1	82.54819262	83.27408852	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	62.54819262
chr11.70049601.70049625	0	18.06223681	18.27368982	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	-1.93776319
chr11.70049605.70049629	1	10.93253457	10.96918489	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	-9.06746543
chr11.70052349.70052373	1	86.20638163	86.86144176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	66.20638163
chr11.70049625.70049649	1	48.82591147	49.55762085	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	28.82591147
chr11.70049644.70049668	1	96.32112659	96.62224098	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	76.32112659
chr11.70049689.70049713	1	45.02588131	45.727131	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	25.02588131
chr11.70049695.70049719	1	95.84719207	96.18578754	71	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	83.423596035
chr11.70049703.70049727	1	81.16875336	81.90093546	49	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	65.08437668
chr11.70049636.70049660	1	92.90945432	93.38373593	40	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	66.45472716
chr11.70049766.70049790	1	94.09565484	94.5206657	76	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	85.04782742
chr11.70049769.70049793	1	73.21665267	74.00504928	75	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	74.108326335
chr11.70049770.70049794	1	76.55771777	77.31678429	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	56.55771777
chr11.70049779.70049803	1	51.50514953	52.27210378	37	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	44.252574765
chr11.70049785.70049809	1	75.86204354	76.62856173	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	55.86204354
chr11.70052238.70052262	1	66.54211782	67.33329578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	46.54211782
chr11.70049667.70049691	1	97.05333957	97.30153841	85	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	91.026669785
chr11.70052446.70052470	1	31.57792469	32.10069009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	11.57792469
