Activity.Score	MNase.Score	sgRNAscorer.Hg	WU.CRISPR	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class	Combined
RAB1A_chr2_65357032_.	8.719967261	0	34.1835321948	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.1835321948
RAB1A_chr2_65357032_..1	8.719967261	0	34.1835321948	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.1835321948
RAB1A_chr2_65357032_..2	8.719967261	0	34.1835321948	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.1835321948
CARM1_chr19_10982562_.	8.694745473	0	93.5416005301	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	73.5416005301
CARM1_chr19_10982562_..1	8.694745473	0	93.5416005301	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	73.5416005301
CARM1_chr19_10982562_..2	8.694745473	0	93.5416005301	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	73.5416005301
IGF2R_chr6_160390313_.	8.634944482	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
EIF6_chr20_33872071_.	8.496441979	0.211111143	46.2805873779	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	26.2805873779
EIF6_chr20_33872071_..1	8.496441979	0.211111143	46.2805873779	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	26.2805873779
RAB1A_chr2_65357044_.	8.429500949	0	17.0159601709	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-2.9840398291
VPS54_chr2_64246553_.	8.397740683	0	72.7123736583	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	52.7123736583
VPS54_chr2_64246553_..1	8.397740683	0	72.7123736583	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	52.7123736583
VPS54_chr2_64246553_..2	8.397740683	0	72.7123736583	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	52.7123736583
SEC23B_chr20_18491623_.	8.362919725	1.492856979	33.0864847546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13.0864847546
ST3GAL4_chr11_126278309_.	8.315819424	0.818518579	48.5813119956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28.5813119956
SEC23B_chr20_18491628_.	8.205276515	1.649999976	76.0716896942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	56.0716896942
RAB1A_chr2_65357033_.	8.123433841	0	8.94904448031	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-11.05095551969
RAB1A_chr2_65357033_..1	8.123433841	0	8.94904448031	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-11.05095551969
QSOX2_chr9_139137425_.	8.011631589	0	85.5963209054	50	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	67.7981604527
QSOX2_chr9_139137425_..1	8.011631589	0	85.5963209054	50	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	67.7981604527
SEC23IP_chr10_121652465_.	7.984179709	0.099999987	66.7369051346	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	46.7369051346
VPS54_chr2_64246077_.	7.853424654	0	34.6551438709	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.6551438709
VPS54_chr2_64246077_..1	7.853424654	0	34.6551438709	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.6551438709
VPS54_chr2_64246077_..2	7.853424654	0	34.6551438709	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.6551438709
VPS54_chr2_64246077_..3	7.853424654	0	34.6551438709	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	14.6551438709
VPS54_chr2_64246085_.	7.747955669	0	96.215123651	58	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	77.1075618255
VPS54_chr2_64246085_..1	7.747955669	0	96.215123651	58	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	77.1075618255
VPS54_chr2_64246085_..2	7.747955669	0	96.215123651	58	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	77.1075618255
VPS54_chr2_64246085_..3	7.747955669	0	96.215123651	58	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	77.1075618255
YIPF5_chr5_143549418_.	7.647959274	0.765217304	42.9729270342	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	22.9729270342
QSOX2_chr9_139137642_.	7.598343401	0	0	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	40.5
QSOX2_chr9_139137642_..1	7.598343401	0	0	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	40.5
QSOX2_chr9_139137346_.	7.505114775	0	62.2018598261	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	42.2018598261
WDR11_chr10_122610927_.	7.479170377	0.042307694	30.0344850599	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	10.0344850599
IGF2R_chr6_160390270_.	7.470072212	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
IGF2R_chr6_160390270_..1	7.470072212	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
SEC23B_chr20_18492897_.	7.46473385	0.177777767	64.7986183854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44.7986183854
RAB1A_chr2_65357015_.	7.459034873	0	77.4467044885	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	57.4467044885
RAB1A_chr2_65357015_..1	7.459034873	0	77.4467044885	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	57.4467044885
QSOX2_chr9_139137373_.	7.443981862	0	83.5886437118	42	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	62.7943218559
SEC23IP_chr10_121652453_.	7.397462257	0.099999987	10.7965189742	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-9.2034810258
RAB1B_chr11_66036148_.	7.363732101	0.035714291	31.8086976977	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	11.8086976977
RAB1B_chr11_66036148_..1	7.363732101	0.035714291	31.8086976977	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	11.8086976977
RAB1B_chr11_66036148_..2	7.363732101	0.035714291	31.8086976977	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	11.8086976977
QSOX2_chr9_139137320_.	7.341955114	0	79.7220621424	18	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	48.8610310712
QSOX2_chr9_139137320_..1	7.341955114	0	79.7220621424	18	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	48.8610310712
QSOX2_chr9_139137320_..2	7.341955114	0	79.7220621424	18	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	48.8610310712
QSOX2_chr9_139137320_..3	7.341955114	0	79.7220621424	18	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	48.8610310712
SEC23IP_chr10_121652319_.	7.324369377	0.100000001	99.3269274376	76	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	87.6634637188
SEC23IP_chr10_121652319_..1	7.324369377	0.100000001	99.3269274376	76	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	87.6634637188
VPS53_chr17_613841_.	7.322910001	0.521428525	12.5409033073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-7.4590966927
SEC23IP_chr10_121652316_.	7.291704001	0.099999994	83.4726857162	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	63.4726857162
SEC23IP_chr10_121652292_.	7.247034249	0.099999987	29.5880559946	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	9.5880559946
CARM1_chr19_10982587_.	7.188236643	0	35.4474927817	29	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	32.22374639085
CARM1_chr19_10982587_..1	7.188236643	0	35.4474927817	29	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	32.22374639085
CARM1_chr19_10982587_..2	7.188236643	0	35.4474927817	29	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	32.22374639085
CARM1_chr19_10982587_..3	7.188236643	0	35.4474927817	29	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	32.22374639085
RAB5C_chr17_40311908_.	7.155860384	1.092857242	69.3098452947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49.3098452947
EIF6_chr20_33874069_.	7.148514147	2.834615469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-20
TRAPPC8_chr18_29522699_.	7.114706174	0.176923066	36.8369239754	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	16.8369239754
TRAPPC8_chr18_29522699_..1	7.114706174	0.176923066	36.8369239754	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	16.8369239754
VPS54_chr2_64246092_.	7.105325392	0	83.5105149383	54	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	68.75525746915
VPS54_chr2_64246092_..1	7.105325392	0	83.5105149383	54	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	68.75525746915
VPS54_chr2_64246092_..2	7.105325392	0	83.5105149383	54	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	68.75525746915
VPS54_chr2_64246092_..3	7.105325392	0	83.5105149383	54	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	68.75525746915
VPS54_chr2_64246076_.	7.059972804	0	94.23273968	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.23273968
VPS54_chr2_64246076_..1	7.059972804	0	94.23273968	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.23273968
VPS54_chr2_64246076_..2	7.059972804	0	94.23273968	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.23273968
VPS54_chr2_64246076_..3	7.059972804	0	94.23273968	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.23273968
VPS54_chr2_64246076_..4	7.059972804	0	94.23273968	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.23273968
QSOX2_chr9_139137410_.	7.057967638	0	98.674576145	91	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	94.8372880725
QSOX2_chr9_139137410_..1	7.057967638	0	98.674576145	91	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	94.8372880725
CARM1_chr19_10982586_.	7.0354214	0	32.1814224599	34	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	33.09071122995
CARM1_chr19_10982586_..1	7.0354214	0	32.1814224599	34	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	33.09071122995
CARM1_chr19_10982586_..2	7.0354214	0	32.1814224599	34	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	33.09071122995
CARM1_chr19_10982586_..3	7.0354214	0	32.1814224599	34	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	33.09071122995
QSOX2_chr9_139137362_.	6.997648367	0	20.3102733622	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0.3102733622
QSOX2_chr9_139137522_.	6.990927613	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
QSOX2_chr9_139137522_..1	6.990927613	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
QSOX2_chr9_139137522_..2	6.990927613	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
SEC24A_chr5_133984797_.	6.985708253	0.958333313	79.4935751159	76	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	77.74678755795
SEC23IP_chr10_121652298_.	6.910021981	0.099999994	13.1968310468	76	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	44.5984155234
QSOX2_chr9_139137443_.	6.906000929	0	87.3402627914	53	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	70.1701313957
QSOX2_chr9_139137443_..1	6.906000929	0	87.3402627914	53	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	70.1701313957
SEC23IP_chr10_121652470_.	6.87275263	0.099999987	93.8680158352	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	73.8680158352
IGF2R_chr6_160390304_.	6.8655412	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	-20
IGF2R_chr6_160390304_..1	6.8655412	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	-20
IGF2R_chr6_160390304_..2	6.8655412	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	-20
SEC23B_chr20_18491608_.	6.848272146	0.807142794	36.5306768813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	16.5306768813
SEC23B_chr20_18491608_..1	6.848272146	0.807142794	36.5306768813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	16.5306768813
SEC23B_chr20_18491608_..2	6.848272146	0.807142794	36.5306768813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	16.5306768813
IGF2R_chr6_160390384_.	6.847083305	0	23.9030170832	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	3.9030170832
SEC23IP_chr10_121652420_.	6.835615757	0.147999987	75.7797852583	28	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	51.88989262915
IGF2R_chr6_160390283_.	6.804070256	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
IGF2R_chr6_160390283_..1	6.804070256	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
QSOX2_chr9_139137379_.	6.754096731	0	40.5323891513	52	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	46.26619457565
QSOX2_chr9_139137379_..1	6.754096731	0	40.5323891513	52	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	46.26619457565
QSOX2_chr9_139137379_..2	6.754096731	0	40.5323891513	52	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	46.26619457565
VPS54_chr2_64246490_.	6.747454437	0	53.412354375	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	33.412354375
IGF2R_chr6_160390284_.	6.732092308	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
IGF2R_chr6_160390284_..1	6.732092308	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
IGF2R_chr6_160390284_..2	6.732092308	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
