Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2BK120ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
SLC6A7_chr5_149574447	1.804511278	68.0295141673	68.8416791826	62	65.01475708365	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FPR2_chr19_52272336	5.729670026	52.0804412967	52.8560047464	42	47.04022064835	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LPAR6_chr13_48986120	3.504894222	90.7093126622	91.2648590598	65	77.8546563311	3_PromD1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1
OR2J3_chr6_29080335	2.544283414	71.8006377874	72.6087055124	41	56.4003188937	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR61_chr1_110085826	2.716049383	98.6653584982	98.8034474409	79	88.8326792491	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF13B_chr17_16852262	2.672939164	66.4599701569	67.2516527949	0	46.4599701569	21_Het	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GABRA3_chrX_151532930	0.052910053	84.7786419014	85.4604159549	0	64.7786419014	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBN_chr8_90982670	0	46.1672103235	46.8879098884	0	26.1672103235	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR4A3_chr9_102590375	0.061842919	32.6461762067	33.1769728742	0	12.6461762067	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10V1_chr11_59480623	0.069156293	16.0694922072	16.2342246514	58	37.0347461036	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A15_chr12_85264297	0.243821345	33.3795690492	33.9272689763	46	39.6897845246	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVPR2_chrX_153171258	0.154394299	81.7107141132	82.435675058	43	62.3553570566	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIFR_chr5_38527372	0.247678019	16.2272245776	16.3948403975	0	-3.7727754224	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD8_chr10_35930287	0.231903263	72.1670945498	72.9741968664	0	52.1670945498	3_PromD1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0
GPR182_chr12_57389219	0.094007051	22.2298667239	22.5693837345	0	2.2298667239	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIA4_chr11_105483067	2.09383482	52.6170558173	53.3920977492	0	32.6170558173	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC6A5_chr11_20622907	2.867148172	94.614184336	95.0202168806	67	80.807092168	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFPQ_chr1_35658545	2.482269504	87.1741607978	87.8143090304	46	66.5870803989	3_PromD1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1
CHRNB3_chr8_42585748	2.655728587	43.9535740319	44.6409354706	0	23.9535740319	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR2G2_chr1_247752245	4.02133771	79.9999557553	80.7462285843	73	76.49997787765	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCTR_chr2_120236406	0	33.7455833646	34.3089645607	0	13.7455833646	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3AR1_chr12_8212224	1.675213675	15.6293311417	15.7828106402	0	-4.3706688583	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1_chr11_32456836	0.184635145	20.5980482924	20.8859726964	0	0.598048292400001	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OR6K2_chr1_158669848	0.179104478	20.291727457	20.5737760685	0	0.291727457	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNC4_chr1_110754776	3.32594235	64.6152240865	65.4453383392	0	44.6152240865	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
KCNJ11_chr11_17409608	2.310453118	90.7239134146	91.2785759591	93	91.8619567073	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALK_chr2_30143323	2.208006603	81.8486469785	82.5744535004	62	71.92432348925	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
KIT_chr4_55524226	0	60.8937282763	61.6986130203	0	40.8937282763	2_PromU	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
TTL_chr2_113239929	3.174603175	85.6802014904	86.3353712378	74	79.8401007452	1_TssA	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1
KCNV1_chr8_110986482	1.858836207	92.2251362276	92.7312504618	65	78.6125681138	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
HTR4_chr5_147928268	4.498150856	62.1332805347	62.9404496363	74	68.06664026735	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNA1_chr12_5021146	6.160204684	58.2463095308	59.0351203832	50	54.1231547654	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
RXFP2_chr13_32351540	0.072992701	17.4265878963	17.6300563234	0	-2.5734121037	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR63_chr6_97247570	0.228953857	8.58432063547	8.52891193165	0	-11.41567936453	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ3_chr2_155555402	0.151196976	16.3213551858	16.493382602	0	-3.6786448142	23_PromBiv	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
LTB4R_chr14_24784882	0	73.122890772	73.9106038581	39	56.061445386	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIA1_chr5_153026704	0.196078431	46.7192736199	47.4445965293	56	51.35963680995	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10AD1_chr12_48596995	0	37.293676805	37.9070352696	20	28.6468384025	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHSC1L1_chr8_38173509	0.19357961	36.3543248645	36.9604229048	0	16.3543248645	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR32_chr19_51273916	0.067636118	6.02052438086	5.92240843878	0	-13.97947561914	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APLNR_chr11_57004206	0.258738084	13.3396308296	13.4307099062	0	-6.6603691704	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CCRL2_chr3_46449576	1.835664336	90.6998000508	91.2554218331	78	84.3499000254	14_EnhA2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GABRE_chrX_151131062	0.028595939	30.0987504927	30.6033533612	0	10.0987504927	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR9A4_chr7_141619592	0.075786283	12.2592120239	12.3276517327	0	-7.7407879761	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNB2_chr8_73479985	2.723198897	93.5885367871	94.0283936158	52	72.79426839355	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCNN1G_chr16_23197638	0.195071869	55.6225985726	56.4051701371	31	43.3112992863	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIK3_chr1_37356673	0.173711639	47.8189020013	48.551532013	0	27.8189020013	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRQ_chrX_151806766	0	87.9386724155	88.559411	53	70.46933620775	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OPRL1_chr20_62724229	0.216416757	36.3403509121	36.9461939079	79	57.67017545605	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2RX5_chr17_3599248	2.390438247	64.9416025211	65.7638264516	0	44.9416025211	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
OR10H3_chr19_15852602	3.400904674	90.7076166152	91.2627740911	80	85.3538083076	21_Het	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
VN1R5_chr1_247419912	1.563633965	69.2818605193	70.0838815826	0	49.2818605193	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GALR2_chr17_74070965	1.927194861	22.3530513545	22.6942623856	25	23.67652567725	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FCRL4_chr1_157557180	2.225519288	35.4601393929	36.0505352517	0	15.4601393929	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MRGPRX1_chr11_18956076	0.190269095	80.9870182351	81.7214452564	0	60.9870182351	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1E_chr1_181452990	2.892249527	58.1634613222	58.9518679491	38	48.0817306611	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF10B_chr8_22926380	3.16595494	90.6982883567	91.2542879027	0	70.6982883567	3_PromD1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1
KCNH5_chr14_63453877	0.311769291	25.7090490375	26.136362805	33	29.35452451875	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRM7_chr3_6903177	0.110864745	23.1580468765	23.5078756949	0	3.1580468765	23_PromBiv	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PIM1_chr6_37138392	0	52.4164060838	53.190038678	21	36.7082030419	3_PromD1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0
OR1F1_chr16_3254261	1.961218837	90.7093126622	91.2648590598	0	70.7093126622	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR113_chr2_26569073	0.021269054	20.3118219269	20.5948452258	0	0.311821926899999	3_PromD1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0
GPR173_chrX_53105850	2.713856928	90.7145482855	91.2696142515	45	67.85727414275	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CFTR_chr7_117149122	0.037327361	20.3123012445	20.5951744314	0	0.312301244499999	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A6_chr3_14526447	0.068657741	79.5501345961	80.2969726986	48	63.77506729805	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX3_chr2_223163264	0.203355363	86.8593597275	87.5056605071	53	69.92967986375	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL17RD_chr3_57199275	0.222222222	49.2924718742	50.0258975059	0	29.2924718742	1_TssA	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0
INSR_chr19_7267659	0.064482848	53.023554037	53.7963256268	0	33.023554037	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH1_chr1_211192482	3.401360544	97.3969365704	97.6186365475	90	93.6984682852	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RXFP4_chr1_155911901	0.060642814	0.96468203359	0.882856216901	0	-19.03531796641	15_EnhAF	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML4_chr2_42490378	0.045060268	19.1929839698	19.4505266192	0	-0.8070160302	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL13RA2_chrX_114244192	0.174754671	15.1651304537	15.3016583914	0	-4.8348695463	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6M1_chr11_123676976	3.340292276	81.9208027169	82.6473176695	64	72.96040135845	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MTNR1A_chr4_187455655	3.848027277	68.7513665161	69.5571892281	0	48.7513665161	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NIN_chr14_51239774	0.125	26.3742681649	26.8150384037	50	38.18713408245	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTC3_chr15_91083300	0.037418148	29.583557783	30.0870126934	0	9.583557783	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FZD4_chr11_86665941	0.280504909	49.8176196423	50.5614052543	45	47.40880982115	3_PromD1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0
IFNGR2_chr21_34787226	0.187969925	17.5994372074	17.800731129	0	-2.4005627926	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
GPR87_chr3_151012895	0.194174757	13.0390249352	13.1244024004	0	-6.9609750648	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TACR1_chr2_75347709	0.129150299	6.73898463566	6.64055212897	0	-13.26101536434	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR146_chr7_1097534	2.465633864	90.714327062	91.2693947811	47	68.857163531	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRIN1_chr9_140033946	3.305118904	82.2521955513	82.9816808067	56	69.12609777565	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRD4_chr19_15376421	0.125156446	39.0229441975	39.666273327	0	19.0229441975	10_TxEnh5	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OXTR_chr3_8809655	3.638309256	71.4863529053	72.2938020831	0	51.4863529053	23_PromBiv	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1
TNFRSF4_chr1_1149385	2.499440424	64.9811646607	65.8016850936	0	44.9811646607	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNS1_chr20_43727301	0.162899613	6.0013885463	5.90240005501	0	-13.9986114537	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF1R_chr15_99250799	0.093440478	25.6641037922	26.0924687273	0	5.6641037922	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KCNK13_chr14_90528597	0.283904783	1.12152950993	1.0302671613	0	-18.87847049007	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CDK4_chr12_58145086	0.269590223	36.720154827	37.3300841962	0	16.720154827	4_PromD2	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0
GPRC5D_chr12_13103148	1.786652654	85.8088429678	86.4590062234	68	76.9044214839	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCR4_chr3_32995099	1.695230999	84.5320882874	85.222729524	0	64.5320882874	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AMER1_chrX_63412627	0.094562648	36.162155366	36.7636677013	0	16.162155366	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPM1_chr15_31453133	4.427164334	90.7103450386	91.2657735197	35	62.8551725193	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCL11A_chr2_60773135	0.082610492	20.9792901601	21.2789344274	0	0.9792901601	11_TxEnh3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR123_chr10_134910575	2.568765629	83.1177694475	83.8368105978	37	60.05888472375	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNH3_chr12_49933248	2.018466824	42.6541808111	43.3303314661	22	32.32709040555	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CACNG7_chr19_54417755	4.935526901	84.0164900012	84.7187157763	0	64.0164900012	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRCA1_chr17_41243789	0	45.3277776733	46.0321582645	58	51.66388883665	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITF_chr3_69788756	0.185609107	20.3098309152	20.5929065707	0	0.309830915199999	1_TssA	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
EPHA7_chr6_94120834	2.256097561	56.1203514947	56.8962717102	0	36.1203514947	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF1A_chr12_6443364	0	20.304853386	20.587054027	0	0.304853386000001	10_TxEnh5	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHRNA3_chr15_78911168	4.174852652	61.4847269125	62.2866839268	0	41.4847269125	24_ReprPC	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SYK_chr9_93606362	1.807532147	82.8764514567	83.5985389125	72	77.43822572835	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL1RAPL2_chrX_104440251	2.902902903	74.2102043773	74.98355801	77	75.60510218865	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WAS_chrX_48545229	1.783036161	94.5448123269	94.9557657432	65	79.77240616345	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNK2_chr1_215256735	2.138182925	46.5678829905	47.2963077033	0	26.5678829905	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1
OPN1SW_chr7_128415552	0.233242065	20.2846667397	20.5666432809	14	17.14233336985	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBRM1_chr3_52662955	0.138121547	20.2913587512	20.5734468629	0	0.291358751200001	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRM2_chr3_51743260	3.691963453	90.7093126622	91.2648590598	34	62.3546563311	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IDH2_chr15_90634851	0.108892922	1.5183307653	1.4066954563	80	40.75916538265	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4D2_chr17_56247759	0	54.1017237368	54.8797412005	42	48.0508618684	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21R_chr16_27445693	3.191371066	86.7081903215	87.3586153467	80	83.35409516075	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CACNB1_chr17_37347735	5.269211415	21.3660626158	21.6789923676	0	1.3660626158	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ESRRB_chr14_76905811	0.10862481	12.2564282946	12.3243962552	0	-7.7435717054	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17RA_chr22_17566061	2.853321444	98.4644506707	98.6193117848	69	83.73222533535	1_TssA	1	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1
GPR158_chr10_25464466	0.109965636	9.52850262279	9.50756697322	0	-10.47149737721	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R41_chr7_143175826	3.812199037	87.2912617815	87.9277752214	0	67.2912617815	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BIRC3_chr11_102195778	1.869585043	87.4354995172	88.0658586742	0	67.4354995172	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CMKLR1_chr12_108686085	2.254510852	59.2200617287	60.0096420657	0	39.2200617287	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR13H1_chrX_130678719	0.031502678	46.1268370309	46.8477468073	65	55.56341851545	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
