	MNase.Score	sgRNAscorer.Hg	WU.CRISPR	Azimuth	Class
UGP2_chr2_64068160_.	0.081481472	68.30165597	79	0.669253281	0
SYNCRIP_chr6_86352534_.	0.392307729	55.69726151	40	0.53837176	0
SMC3_chr10_112331235_.	0.765384674	7.942735554	0	0.40225847	0
COPB1_chr11_14524591_.	1.36153841	0	60	0.694121265	0
RAB1B_chr11_66035077_.	0	0	0	0.347776751	0
EIF6_chr20_33875154_.	0.58214283	40.6890154	0	0.256214131	0
GBF1_chr10_104000672_.	0.096296296	51.94582678	0	0.343586124	0
COG1_chr17_71194114_.	1.755555511	0	82	0.68718903	0
WDR11_chr10_122611010_.	0.796428502	90.01072565	63	0.575637838	0
C17orf75_chr17_30667377_.	2.161538601	0	0	0.385685832	0
ST3GAL4_chr11_126225542_.	0	49.9507962	0	0.193704533	0
ARCN1_chr11_118444802_.	0.357692271	44.92529835	0	0.568360348	0
ST3GAL4_chr11_126280615_.	1.757692337	27.60585638	0	0.443235168	0
SYNCRIP_chr6_86351982_.	0	0	0	0.350278789	0
TM9SF2_chr13_100157152_.	0.653571546	0	0	0.357520269	0
ST3GAL4_chr11_126273348_.	0.762499988	0	69	0.637616209	0
ST3GAL4_chr11_126278947_.	1.466666579	93.97910691	0	0.549082653	0
COPZ1_chr12_54718978_.	0.007407408	64.62189766	0	0.528558333	0
SMC3_chr10_112328014_.	0.099999994	86.63319555	0	0.405266339	0
SMC3_chr10_112327463_.	0.003703704	54.63833826	81	0.438709192	0
C17orf75_chr17_30668942_.	0	0	0	0.20836275	0
SEC16A_chr9_139377435_.	0	3.404888081	0	0.450071143	0
PRKDC_chr8_48874997_.	0.924999893	1.59782375	0	0.334227291	0
CCT7_chr2_73459187_.	1.851999998	0	0	0.527366564	0
CCT7_chr2_73463111_.	1.167999983	1.022679467	0	0.380366168	0
COG3_chr13_46039498_.	0.10357143	53.41593082	0	0.422436386	0
SMC3_chr10_112331484_.	0.203571424	95.90939275	0	0.605174473	0
ST3GAL4_chr11_126280414_.	1.153571367	0	0	0.035492054	0
C17orf75_chr17_30667378_.	2.144444466	0	0	0.460355841	0
PRKDC_chr8_48873866_.	0	65.0630911	0	0.274963522	0
SYNCRIP_chr6_86351655_.	0.644444346	89.09530272	0	0.383676738	0
ILF2_chr1_153642853_.	0.52692312	41.84748924	0	0.450955222	0
QSOX2_chr9_139134893_.	0.778571486	0	0	0.551334622	0
COG3_chr13_46041119_.	0.921428561	0	0	0.635138332	0
SEC23IP_chr10_121652157_.	0.046428572	70.39328749	0	0.441658776	0
GBF1_chr10_104006796_.	1.517856956	8.143717123	0	0.314408579	0
YIPF5_chr5_143547151_.	0.025000002	30.56733878	0	0.553169549	0
PRKDC_chr8_48869855_.	1.092307687	14.10904624	0	0.229596271	0
TUBA1B_chr12_49525011_.	0.328571409	39.56623229	0	0.163998923	0
COG3_chr13_46040547_.	0.296428621	62.67022689	0	0.435366788	0
PRKDC_chr8_48873464_.	0	78.68869021	0	0.574476694	0
MCL1_chr1_150551033_.	1.231999993	69.07837175	0	0.468413247	0
ST3GAL4_chr11_126273281_.	1.607692242	57.54945544	0	0.497876027	0
ST3GAL4_chr11_126275851_.	0.650000036	59.33790012	0	0.568456434	0
ST3GAL4_chr11_126226102_.	0.099999987	56.64424566	0	0.53341867	0
ST3GAL4_chr11_126227478_.	1.274074078	57.15423962	0	0.486442262	0
SYNCRIP_chr6_86351986_.	0	0	0	0.350085636	0
CCT7_chr2_73462382_.	0.652173936	70.37850238	0	0.594315641	0
TUBA1B_chr12_49525284_.	0	64.75975679	0	0.334710402	0
QSOX2_chr9_139134191_.	1.226922989	9.46674439	0	0.348199727	0
RAB5C_chr17_40306416_.	0.632142901	59.28366349	0	0.439955276	0
SURF4_chr9_136241026_.	1.057142973	37.61574138	0	0.464750277	0
RAB1A_chr2_65356415_.	0.595999956	0.843709638	0	0.366608074	0
ST3GAL4_chr11_126227338_.	0.957143009	14.64204744	0	0.508331281	0
COPZ1_chr12_54719037_.	1.311538458	63.95468752	0	0.622809703	0
ST3GAL4_chr11_126225453_.	0	73.37486436	0	0.484319773	0
YIPF5_chr5_143547156_.	0.046153847	27.35583693	0	0.329042542	0
SYNCRIP_chr6_86347223_.	0.685185254	43.97525394	0	0.313889987	0
EIF6_chr20_33872419_.	0	93.44201308	0	0.358206737	0
COPB1_chr11_14520645_.	0.74999994	1.952371313	0	0.208558274	0
TRAPPC8_chr18_29519392_.	1.592592597	83.0962739	71	0.677725012	0
COG1_chr17_71189670_.	0.374074101	50.03187462	0	0.303281265	0
ST3GAL4_chr11_126228441_.	2.146153927	56.15106469	0	0.618576737	0
SMC3_chr10_112330991_.	1.477777839	0	0	0.558360284	0
ARCN1_chr11_118443960_.	1.460000038	84.79327952	0	0.641004614	0
YIPF5_chr5_143546490_.	1.257142901	0	64	0.550056903	0
RAB1B_chr11_66036062_.	0.057142857	87.26486244	48	0.373980307	0
SYNCRIP_chr6_86351997_.	0	0	0	0.396512578	0
SEC16A_chr9_139378410_.	0	48.84176582	0	0.487982333	0
CREBBP_chr16_3929797_.	0	0	0	0.280296614	0
ST3GAL4_chr11_126273620_.	1.111111283	20.79796061	27	0.180877319	0
UGP2_chr2_64071633_.	0.659259379	0	0	0.393268651	0
ST3GAL4_chr11_126273727_.	1.032142878	91.48680273	0	0.385135572	0
MCL1_chr1_150551923_.	0.082142867	92.73350788	0	0.468928818	0
COG3_chr13_46042187_.	0.374074131	16.90689698	0	0.245735394	0
ST3GAL4_chr11_126228878_.	0.935714185	33.57948137	0	0.375803998	0
EIF6_chr20_33868800_.	0.764285743	6.817555856	0	0.427607033	0
ST3GAL4_chr11_126276731_.	1.212499976	36.5518406	0	0.457819982	0
EIF6_chr20_33868029_.	1.721428752	87.65384713	41	0.616932084	0
MCL1_chr1_150547360_.	1.670370221	71.43381232	0	0.477893168	0
ARL1_chr12_101798946_.	0.703846216	0	0	0.542810145	0
EIF6_chr20_33872418_.	0	47.03296857	0	0.388332013	0
ST3GAL4_chr11_126278139_.	1.089285612	6.834479456	0	0.405463051	0
PRKDC_chr8_48873865_.	0	63.03801099	0	0.459042361	0
COG3_chr13_46039393_.	0.164285734	94.47029687	0	0.471894047	0
CCT7_chr2_73463000_.	1.774999976	92.08971056	79	0.667219097	0
EIF6_chr20_33868422_.	2.323077202	59.85891839	0	0.511187495	0
ST3GAL4_chr11_126220811_.	1.619230866	46.33928535	0	0.396785922	0
COPA_chr1_160312846_.	0.135714293	79.06019824	0	0.337260672	0
RAD21_chr8_117886392_.	0	4.767956805	0	0.373471304	0
C17orf75_chr17_30668318_.	1.430769205	3.909572674	0	0.335327828	0
EIF6_chr20_33876112_.	0.737037122	91.33799304	0	0.411175264	0
ILF2_chr1_153643294_.	0.025925925	21.26194008	0	0.486072083	0
ST3GAL4_chr11_126225550_.	0	39.19914873	0	0.299939341	0
EIF6_chr20_33867887_.	2.07857132	71.84145353	42	0.598951405	0
CCT7_chr2_73464302_.	0.285185218	69.92333499	0	0.410416024	0
ST3GAL4_chr11_126230001_.	0.964285731	66.87033979	0	0.415605178	0
TUBA1B_chr12_49524829_.	0.216666684	68.41300514	55	0.668374192	0
PRKDC_chr8_48872956_.	1.896428704	60.19156482	0	0.461609221	0
CCT7_chr2_73463003_.	1.800000072	36.09733687	0	0.522720379	0
HEATR1_chr1_236767160_.	0.992592692	74.8449684	67	0.668439258	0
EIF6_chr20_33870742_.	0.375	0	0	0.570176288	0
ST3GAL4_chr11_126274100_.	1.810714126	0	0	0.580329184	0
GBF1_chr10_104000911_.	0.219230756	71.92371181	73	0.639617132	0
SEC23IP_chr10_121654108_.	0.392307729	13.77809585	0	0.637099748	0
ARF1_chr1_228273345_.	1.707142711	50.50728397	0	0.349954238	0
ARCN1_chr11_118443780_.	1.742307782	32.95175963	0	0.585154295	0
ST3GAL4_chr11_126225831_.	0	99.43326221	0	0.603284008	0
ST3GAL4_chr11_126274623_.	2.572000027	1.961220254	0	0.164717485	0
RAD21_chr8_117883117_.	1.307692289	21.43947195	0	0.441434515	0
WDR11_chr10_122611937_.	0.270370394	54.75816766	0	0.56044468	0
SEC16A_chr9_139375057_.	0.242857128	20.5589286	0	0.28089151	0
EIF6_chr20_33876540_.	0	92.14711807	0	0.372970231	0
COPA_chr1_160314111_.	0.878571451	88.58770536	0	0.668006718	0
RAD21_chr8_117886893_.	0	0	0	0.243621032	0
RAB1A_chr2_65354497_.	1.1692307	96.89671332	0	0.698215514	0
RAB1B_chr11_66033697_.	0.228571415	89.55589009	40	0.405370194	0
COG3_chr13_46043247_.	0.45714286	52.14374809	0	0.571419132	0
EIF6_chr20_33872443_.	0	98.90435364	44	0.409006223	0
COPA_chr1_160313201_.	0.211538479	69.85353897	19	0.507603145	0
COPB1_chr11_14525957_.	0.546153903	60.40891693	0	0.41896249	0
EIF6_chr20_33875175_.	1.526923299	43.60204986	38	0.378416004	0
RAD21_chr8_117886673_.	0	74.41022731	0	0.260598878	0
C17orf75_chr17_30667376_.	2.176000118	16.60031805	0	0.347338434	0
ST3GAL4_chr11_126221097_.	0.861538351	0	0	0.533509366	0
ST3GAL4_chr11_126225776_.	0	0	0	0.116784021	0
CCT7_chr2_73464315_.	0.350000024	67.21500603	0	0.603382487	0
SEC23B_chr20_18490113_.	0.787999928	30.25419689	0	0.467283747	0
ST3GAL4_chr11_126276004_.	1.021428704	35.5693132	0	0.590827622	0
EIF6_chr20_33872384_.	0	88.47532381	0	0.439839892	0
COG1_chr17_71189767_.	0.850000024	66.63554789	0	0.497422484	0
ST3GAL4_chr11_126270327_.	0.703571379	0	0	0.515684348	0
COPB1_chr11_14520467_.	0.714285672	75.30964841	0	0.698697064	0
MCL1_chr1_150550998_.	0.74090904	96.51344357	82	0.691996906	0
YIPF5_chr5_143548945_.	0.588888884	55.58465874	0	0.489372696	0
RAB1B_chr11_66037763_.	0.271428585	40.40079803	43	0.488612092	0
COPA_chr1_160318182_.	2.410714388	0	0	0.475056039	0
PSMC6_chr14_53175766_.	0.453571409	72.75071907	0	0.525143054	0
ARCN1_chr11_118447491_.	2.400000095	6.420349024	0	0.557701489	0
COG1_chr17_71190022_.	1.125926018	47.5925166	28	0.385695981	0
MCL1_chr1_150552024_.	0.29285717	28.8636227	0	0.390314455	0
RAB5C_chr17_40311776_.	4.125926495	57.13517753	0	0.527420711	0
RAD21_chr8_117886901_.	0	0	0	0.31387568	0
COG1_chr17_71190282_.	0.300000012	32.14934505	0	0.325160561	0
CREBBP_chr16_3929958_.	0	0	0	0.152304945	0
RAD21_chr8_117886743_.	0	71.68549094	0	0.22571228	0
RAD21_chr8_117882250_.	1.310714364	13.25759377	0	0.197986553	0
ILF3_chr19_10764445_.	0.253571421	18.04686178	0	0.214085529	0
CCT7_chr2_73466049_.	0.866666675	46.51515805	0	0.47168436	0
ST3GAL4_chr11_126277647_.	0.128571421	20.75076626	0	0.444796739	0
RAD21_chr8_117886694_.	0	52.19466637	0	0.256246127	0
CCT7_chr2_73459002_.	1.285714269	0	0	0.267373063	0
ILF2_chr1_153643039_.	0.374074012	55.73228857	28	0.561982934	0
SYNCRIP_chr6_86349339_.	0.629629612	49.84059002	0	0.652395382	0
COPZ1_chr12_54720296_.	0.539285719	23.92956391	22	0.522637638	0
SMC3_chr10_112328036_.	0.078571424	17.665878	0	0.141097872	0
COPZ1_chr12_54719036_.	1.171428561	95.22514839	70	0.577158422	0
ST3GAL4_chr11_126271950_.	2.021428585	0	0	0.599214757	0
MCL1_chr1_150548548_.	1.235714197	57.39603693	0	0.42292457	0
CCT7_chr2_73463062_.	1.287499905	42.54283164	0	0.568806265	0
RAB2A_chr8_61431418_.	0.976922989	12.85633118	0	0.579332082	0
CCT7_chr2_73462584_.	0.991999984	58.41366512	0	0.200145833	0
RAB5C_chr17_40307035_.	0	83.96129473	0	0.363131853	0
COPA_chr1_160308808_.	2.385714293	0	0	0.272837228	0
EIF6_chr20_33872368_.	0	78.42395939	0	0.27831408	0
ST3GAL4_chr11_126277972_.	1.5400002	96.54570533	68	0.697566598	0
RAB1B_chr11_66036584_.	0.199999973	85.06372528	49	0.542620103	0
COPZ1_chr12_54718872_.	0.085185178	45.51275741	0	0.471188485	0
TUBA1B_chr12_49524920_.	0.135714278	90.76384426	72	0.727516999	0
COPZ1_chr12_54720540_.	0.430769235	45.54682583	0	0.281094051	0
PSMC6_chr14_53178755_.	1.403846264	70.19285898	0	0.42078839	0
ST3GAL4_chr11_126228051_.	0.881481528	99.53834338	75	0.549185681	0
RAB5C_chr17_40306250_.	1.299999952	71.11101033	69	0.667255715	0
RAB5C_chr17_40306295_.	1.75217402	63.40026451	0	0.503791394	0
ST3GAL4_chr11_126271699_.	1.27777791	0	0	0.599551973	0
PRKDC_chr8_48872888_.	0.079166673	34.43993026	0	0.289409318	0
EIF6_chr20_33874577_.	0.518518567	37.18948053	0	0.248874149	0
ST3GAL4_chr11_126270475_.	1.496428609	0	37	0.549433945	0
COPB1_chr11_14521233_.	1.492592454	26.95590167	0	0.453324804	0
COG1_chr17_71189539_.	0	90.84193616	0	0.362641349	0
SMC3_chr10_112327488_.	0	80.60503896	0	0.315246372	0
TUBA1B_chr12_49524897_.	0.117857136	55.01320151	70	0.619095182	0
ARCN1_chr11_118447119_.	0.700000107	0.534807862	0	0.372044051	0
SCFD1_chr14_31093396_.	1.557142854	8.066841949	0	0.416873895	0
COPA_chr1_160309114_.	0.583333313	0	0	0.506758668	0
C17orf75_chr17_30668724_.	0.796153903	35.70566063	0	0.572415335	0
QSOX2_chr9_139137262_.	0	71.29145498	62	0.386138264	0
COPB1_chr11_14522760_.	0.392857134	0	0	0.572594223	0
PRKDC_chr8_48873471_.	0	60.12106826	0	0.516773447	0
SMC3_chr10_112328051_.	0.128571436	89.46153826	0	0.321888062	0
ST3GAL4_chr11_126228280_.	0.640740693	95.43169742	0	0.540810999	0
ARL1_chr12_101797388_.	0.837499917	43.9388258	37	0.42150247	0
TUBA1B_chr12_49523994_.	0.725000024	86.93719354	0	0.410963757	0
CARM1_chr19_10979746_.	1.425000191	78.19598855	41	0.532835342	0
CREBBP_chr16_3929979_.	0	0	0	0.319625678	0
CCT7_chr2_73465350_.	0.699999988	0	52	0.558195765	0
CCT7_chr2_73462662_.	1.57407403	49.96794102	53	0.406383068	0
COPZ1_chr12_54722775_.	1.5625	58.73019911	52	0.655077321	0
CREBBP_chr16_3929805_.	0	0	0	0.354162551	0
ARF1_chr1_228272619_.	1.642857194	17.60769622	0	0.653852187	0
SMC3_chr10_112331436_.	1.207142949	31.79984876	24	0.514158516	0
RAB5C_chr17_40309501_.	0.892857134	0	0	0.695110115	0
ST3GAL4_chr11_126268541_.	1.41481483	0	0	0.360546256	0
PRKDC_chr8_48873803_.	0	98.85011701	0	0.266057992	0
SEC16A_chr9_139377955_.	0	0	0	0.364130471	0
RAD21_chr8_117886288_.	0.082142867	85.54411215	18	0.437255693	0
TUBA1B_chr12_49525070_.	0.786956429	98.26815167	0	0.543676008	0
SYNCRIP_chr6_86350061_.	0.281481475	7.9757716	0	0.221681742	0
CREBBP_chr16_3926558_.	1.130769134	1.398722582	0	0.298406146	0
RAD21_chr8_117886265_.	0.053571433	84.43640911	0	0.525760167	0
ST3GAL4_chr11_126278189_.	1.918518543	3.764302562	0	0.319962488	0
ST3GAL4_chr11_126230205_.	0.846428454	52.47067959	32	0.510180057	0
RAB5C_chr17_40309061_.	2.132142782	92.26307606	0	0.601526694	0
SEC24C_chr10_75506757_.	1.522222161	37.61227555	0	0.550275587	0
C17orf75_chr17_30668930_.	0	0	0	0.343482962	0
CCT7_chr2_73462190_.	0.346428543	59.69207898	19	0.507304802	0
ST3GAL4_chr11_126268516_.	0.866666675	0	0	0.402703912	0
SEC23B_chr20_18491047_.	0.728571475	23.54754776	0	0.288605476	0
ST3GAL4_chr11_126222418_.	1.369230747	97.65757475	0	0.643820255	0
GOLGA1_chr9_127698568_.	2.807142973	35.59538071	0	0.269951306	0
MCL1_chr1_150550107_.	0.31851849	72.14191194	64	0.631449237	0
COG1_chr17_71192552_.	0.89199996	12.95112546	0	0.171048126	0
CCT7_chr2_73464579_.	1.149999976	84.21798776	80	0.70560101	0
QSOX2_chr9_139133379_.	0.265384614	33.72548889	0	0.299129639	0
ST3GAL4_chr11_126225544_.	0	61.7538822	0	0.262032949	0
ARCN1_chr11_118443420_.	0.44230774	59.65694131	0	0.465218594	0
CCT7_chr2_73465205_.	0.188000008	49.64226313	0	0.49664796	0
ST3GAL4_chr11_126275940_.	1.278571486	16.02727539	0	0.496053448	0
QSOX2_chr9_139134561_.	1.403571248	0	0	0.443370809	0
COG3_chr13_46041863_.	0.29285717	16.70609976	0	0.517597448	0
EIF6_chr20_33868096_.	2.207143068	76.2971902	30	0.585529666	0
MCL1_chr1_150548309_.	1.115384579	46.58027151	0	0.545806574	0
MCL1_chr1_150550686_.	1.004000068	51.30435231	0	0.413518065	0
COG1_chr17_71189599_.	0	69.69558537	0	0.457852036	0
ST3GAL4_chr11_126275768_.	1.544444442	32.2602149	0	0.45052491	0
PRKDC_chr8_48873760_.	0	81.25359258	17	0.323984639	0
COPA_chr1_160311910_.	0.982142925	0	0	0.415473675	0
ST3GAL4_chr11_126272571_.	0.974999905	41.07114217	0	0.440646719	0
WDR11_chr10_122615070_.	0.139285699	0	0	0.289587939	0
SMC3_chr10_112327677_.	0.021428572	78.44121483	50	0.636814437	0
QSOX2_chr9_139133019_.	0.553571463	64.32818657	0	0.599762292	0
YIPF5_chr5_143546069_.	0.300000012	0	0	0.38813467	0
CREBBP_chr16_3925289_.	2.689285755	96.61572258	0	0.606832678	0
RAD21_chr8_117886907_.	0	12.12017304	0	0.35558657	0
SYNCRIP_chr6_86347454_.	1.314285874	18.08107768	0	0.259636593	0
PRKDC_chr8_48874942_.	0.928571403	77.83856509	0	0.631009875	0
CREBBP_chr16_3928824_.	0.871428609	85.9900619	0	0.614102016	0
WDR11_chr10_122610494_.	0.442857057	0	0	0.560099442	0
SMC3_chr10_112328703_.	0.688461542	31.90378694	0	0.521958495	0
EIF6_chr20_33872355_.	0	85.91156442	0	0.419270278	0
ARF1_chr1_228271507_.	0.599999964	23.17010356	0	0.473102039	0
COPA_chr1_160313454_.	1.000000119	53.51127816	46	0.593827993	0
COPA_chr1_160317936_.	1.5	88.18706956	0	0.618995963	0
EIF6_chr20_33875155_.	0.589285731	25.29325943	0	0.330594586	0
EIF6_chr20_33875794_.	0.76666671	80.51028155	0	0.548087426	0
ST3GAL4_chr11_126270669_.	1.689285874	0	0	0.458527806	0
MCL1_chr1_150547367_.	2.014285564	90.23371896	0	0.444200791	0
ST3GAL4_chr11_126227165_.	0.866666675	39.6741525	27	0.481412169	0
COPB1_chr11_14519850_.	0.240740746	0	0	0.209037533	0
COG3_chr13_46039893_.	0.529629648	5.263313139	0	0.45098826	0
PSMC6_chr14_53174213_.	1.707142711	9.968294982	0	0.429827374	0
CREBBP_chr16_3929731_.	0	67.1158979	0	0.512406316	0
ARL1_chr12_101801072_.	0.633333266	16.85789597	0	0.428384945	0
ST3GAL4_chr11_126271579_.	0.760714233	0	0	0.339981398	0
ST3GAL4_chr11_126276000_.	0.403703719	72.15485352	69	0.612623346	0
IGF2R_chr6_160390720_.	0.018518519	48.74007674	0	0.267337962	0
HEATR1_chr1_236764228_.	1.155555606	74.79154292	0	0.319620999	0
RAD21_chr8_117886752_.	0	78.46643431	0	0.426421828	0
PSMC6_chr14_53178554_.	0.217857122	39.41524724	0	0.365042213	0
COPA_chr1_160316688_.	1.614814758	0	0	0.452007819	0
SMC3_chr10_112329243_.	0.200000033	0	73	0.591505969	0
CCT7_chr2_73464215_.	1.517857313	16.47528989	0	0.166694116	0
SYNCRIP_chr6_86351971_.	0	84.05000536	0	0.431973874	0
EIF6_chr20_33871932_.	1.239285707	34.63357458	0	0.29890853	0
SEC23IP_chr10_121656669_.	1.44615376	95.23923296	85	0.685012869	0
ARCN1_chr11_118444438_.	1.211999893	22.62744226	0	0.488385088	0
ST3GAL4_chr11_126225549_.	0	4.53452912	0	0.234394622	0
SURF4_chr9_136246122_.	1.380769014	35.86210253	0	0.518942905	0
CCT7_chr2_73461660_.	0.196428552	78.72427032	0	0.399370158	0
SEC23B_chr20_18488224_.	0.200000003	47.62415156	0	0.496835693	0
PRKDC_chr8_48873832_.	0	84.25644378	0	0.457618032	0
