	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Azimuth	Class
CACNA1E_chr1_181452990	58.1634613	58.9518679	38	0.583110477	1
TNFRSF10B_chr8_22926380	90.6982884	91.2542879	0	0.597973145	1
KCNH5_chr14_63453877	25.709049	26.1363628	33	0.575876364	0
GRM7_chr3_6903177	23.1580469	23.5078757	0	0.487979413	0
PIM1_chr6_37138392	52.4164061	53.1900387	21	0.382396218	0
OR1F1_chr16_3254261	90.7093127	91.2648591	0	0.596249214	1
GPR173_chrX_53105850	90.7145483	91.2696143	45	0.633894806	1
CFTR_chr7_117149122	20.3123012	20.5951744	0	0.349733312	0
SLC6A6_chr3_14526447	79.5501346	80.2969727	48	0.502586453	0
PAX3_chr2_223163264	86.8593597	87.5056605	53	0.647054154	0
IL17RD_chr3_57199275	49.2924719	50.0258975	0	0.332242791	0
INSR_chr19_7267659	53.023554	53.7963256	0	0.570217381	0
KCNH1_chr1_211192482	97.3969366	97.6186365	90	0.716370993	1
RXFP4_chr1_155911901	0.964682	0.8828562	0	0.249021362	0
EML4_chr2_42490378	19.192984	19.4505266	0	0.354335552	0
IL13RA2_chrX_114244192	15.1651305	15.3016584	0	0.414699321	0
OR6M1_chr11_123676976	81.9208027	82.6473177	64	0.541586314	1
MTNR1A_chr4_187455655	68.7513665	69.5571892	0	0.595700067	1
NIN_chr14_51239774	26.3742682	26.8150384	50	0.353709887	0
CRTC3_chr15_91083300	29.5835578	30.0870127	0	0.529194975	0
FZD4_chr11_86665941	49.8176196	50.5614053	45	0.548669998	0
IFNGR2_chr21_34787226	17.5994372	17.8007311	0	0.361762185	0
GPR87_chr3_151012895	13.0390249	13.1244024	0	0.427748963	0
TACR1_chr2_75347709	6.7389846	6.6405521	0	0.443624393	0
GPR146_chr7_1097534	90.7143271	91.2693948	47	0.624106199	1
GRIN1_chr9_140033946	82.2521956	82.9816808	56	0.448080855	1
BRD4_chr19_15376421	39.0229442	39.6662733	0	0.514251428	0
OXTR_chr3_8809655	71.4863529	72.2938021	0	0.540496821	1
TNFRSF4_chr1_1149385	64.9811647	65.8016851	0	0.548518276	1
KCNS1_chr20_43727301	6.0013885	5.9024001	0	0.244369821	0
IGF1R_chr15_99250799	25.6641038	26.0924687	0	0.541956677	0
KCNK13_chr14_90528597	1.1215295	1.0302672	0	0.335647721	0
CDK4_chr12_58145086	36.7201548	37.3300842	0	0.46954097	0
GPRC5D_chr12_13103148	85.808843	86.4590062	68	0.634955744	1
CCR4_chr3_32995099	84.5320883	85.2227295	0	0.704281932	1
AMER1_chrX_63412627	36.1621554	36.7636677	0	0.543301363	0
TRPM1_chr15_31453133	90.710345	91.2657735	35	0.371543106	1
BCL11A_chr2_60773135	20.9792902	21.2789344	0	0.524634111	0
KCNH3_chr12_49933248	42.6541808	43.3303315	22	0.517456112	1
CACNG7_chr19_54417755	84.01649	84.7187158	0	0.721844829	1
BRCA1_chr17_41243789	45.3277777	46.0321583	58	0.619637664	0
MITF_chr3_69788756	20.3098309	20.5929066	0	0.495978273	0
EPHA7_chr6_94120834	56.1203515	56.8962717	0	0.535610666	1
TNFRSF1A_chr12_6443364	20.3048534	20.587054	0	0.320906289	0
CHRNA3_chr15_78911168	61.4847269	62.2866839	0	0.628259336	1
SYK_chr9_93606362	82.8764515	83.5985389	72	0.697988266	1
IL1RAPL2_chrX_104440251	74.2102044	74.983558	77	0.708424861	1
WAS_chrX_48545229	94.5448123	94.9557657	65	0.656941881	1
KCNK2_chr1_215256735	46.567883	47.2963077	0	0.444201578	1
OPN1SW_chr7_128415552	20.2846667	20.5666433	14	0.432963776	0
PBRM1_chr3_52662955	20.2913588	20.5734469	0	0.352382427	0
GRM2_chr3_51743260	90.7093127	91.2648591	34	0.655445038	1
IDH2_chr15_90634851	1.5183308	1.4066955	80	0.363325597	0
OR4D2_chr17_56247759	54.1017237	54.8797412	42	0.5210112	0
IL21R_chr16_27445693	86.7081903	87.3586153	80	0.684124119	1
CACNB1_chr17_37347735	21.3660626	21.6789924	0	0.388281165	1
ESRRB_chr14_76905811	12.2564283	12.3243963	0	0.383845145	0
IL17RA_chr22_17566061	98.4644507	98.6193118	69	0.532135186	1
GPR158_chr10_25464466	9.5285026	9.507567	0	0.200271838	0
TAS2R41_chr7_143175826	87.2912618	87.9277752	0	0.578103911	1
BIRC3_chr11_102195778	87.4354995	88.0658587	0	0.640089365	1
CMKLR1_chr12_108686085	59.2200617	60.0096421	0	0.567193504	1
OR13H1_chrX_130678719	46.126837	46.8477468	65	0.431903949	0
AMHR2_chr12_53819239	67.4995364	68.3112558	56	0.557714724	1
VHL_chr3_10183729	79.6224378	80.3681908	0	0.519822462	1
POT1_chr7_124503593	46.3712522	47.0996622	55	0.673412289	1
SSTR2_chr17_71165465	70.4165897	71.2104231	73	0.587153438	0
GALR1_chr18_74962577	89.8383188	90.4189836	84	0.66020753	1
CNTFR_chr9_34564803	46.868452	47.593178	0	0.594041965	1
OR5AP2_chr11_56409837	99.6500981	99.6884618	85	0.647783131	1
OR52E2_chr11_5080357	20.3047612	20.5867614	0	0.476982791	0
CBFA2T3_chr16_88968014	95.2981522	95.6619483	90	0.667142804	1
SLC6A11_chr3_10885902	24.8995553	25.301973	41	0.537024125	0
FUBP1_chr1_78428479	26.6919083	27.1430369	0	0.60141022	0
CHRM4_chr11_46408042	79.3748518	80.1256029	66	0.615888506	1
ACKR2_chr3_42906210	34.5706365	35.1632896	50	0.602807704	0
EPOR_chr19_11492715	2.3207453	2.1845717	0	0.263057296	0
OR2B11_chr1_247614927	20.3047612	20.5867614	0	0.5177577	0
HTR2A_chr13_47466600	91.5692085	92.0999439	72	0.623704862	1
TLX3_chr5_170736480	67.9590176	68.773497	49	0.336253684	0
CACNA2D4_chr12_2024075	20.2993597	20.580726	0	0.490020301	0
CNGA2_chrX_150911917	66.6006314	67.3952596	63	0.676215137	0
CHRND_chr2_233391300	90.7184566	91.2734916	60	0.593415959	1
CCR1_chr3_46245615	45.6198665	46.3219689	0	0.581127154	0
KCNH7_chr2_163374306	13.5497932	13.6490464	0	0.437391821	0
PAFAH1B2_chr11_117038250	5.8282811	5.7304816	0	0.416590956	0
SLC6A16_chr19_49814467	37.4547644	38.0696628	0	0.551167274	1
OR51B6_chr11_5372941	53.1077665	53.8795049	76	0.674017586	1
PTGIR_chr19_47127447	90.6977353	91.2537392	0	0.610234345	1
CYSLTR1_chrX_77529187	83.2212652	83.9405469	0	0.601880293	1
KCNK1_chr1_233750169	69.3688014	70.1773394	0	0.620952404	1
MDM4_chr1_204518417	5.9331411	5.833084	0	0.400970547	0
CEBPA_chr19_33793296	99.2750505	99.3522697	86	0.730093393	1
NCOA2_chr8_71078955	94.8361084	95.2303232	73	0.587612005	1
LGR5_chr12_71833969	90.7093127	91.2648591	64	0.603119539	1
OR5C1_chr9_125551363	15.5783391	15.7277602	0	0.386723696	0
MRGPRX4_chr11_18195076	15.3785927	15.5213117	0	0.464268764	0
OR6C4_chr12_55945607	30.8475552	31.364623	41	0.434286242	0
GPC3_chrX_133119446	25.3077127	25.7282942	0	0.395689047	0
EWSR1_chr22_29695707	89.7798789	90.3611897	0	0.556778396	1
KCNJ9_chr1_160053937	64.4815682	65.3101446	67	0.684633513	1
GABRB1_chr4_47034436	82.1282735	82.8578995	46	0.648403928	0
ABCC9_chr12_22068672	16.091762	16.2592077	0	0.315686017	0
AQP2_chr12_50344858	72.847615	73.6479344	60	0.505062111	1
GPR50_chrX_150345277	47.5003033	48.234946	55	0.429920505	0
RUNX1_chr21_36259379	93.2476313	93.7054795	68	0.646121942	1
TACR2_chr10_71175918	36.6707482	37.2788013	31	0.618069807	1
OR5M11_chr11_56310479	99.6704138	99.7065315	88	0.720965071	1
ABCC8_chr11_17483303	32.3523176	32.8803221	0	0.426133003	0
MAX_chr14_65569033	90.7129997	91.2682974	73	0.72201513	1
TRPM4_chr19_49669405	93.6017733	94.0427323	69	0.646948044	1
GPR157_chr1_9189031	66.8920934	67.6924956	50	0.423872501	1
AR_chrX_66765069	49.6296165	50.3641014	0	0.394863894	0
GPR174_chrX_78426836	28.6297894	29.1128934	0	0.273291844	0
CIC_chr19_42793464	17.3482748	17.5495838	0	0.624810174	0
OR11A1_chr6_29395097	64.7605679	65.5795811	0	0.462506916	1
MRGPRG_chr11_3239952	20.2951933	20.5764097	0	0.396583238	0
SCN10A_chr3_38835447	10.9755257	11.0127681	0	0.493382578	0
KMT2A_chr11_118342382	93.4164986	93.8674121	76	0.616478269	1
LPAR4_chrX_78010794	27.1806648	27.6472335	0	0.275371105	0
OSMR_chr5_38883960	20.3047612	20.5867614	0	0.511082858	0
OR4K17_chr14_20585632	16.58922	16.7673914	42	0.437201025	1
OR10G3_chr14_22038148	7.4869782	7.4074182	0	0.403078696	0
JAK1_chr1_65349035	20.2847589	20.5666433	0	0.579991343	0
GPR143_chrX_9733777	53.9608044	54.7329521	48	0.481917667	0
AQP5_chr12_50355890	40.3992126	41.0538749	0	0.517451378	0
KCNT1_chr9_138641962	87.2222769	87.8605075	65	0.503912078	1
SCN4B_chr11_118015871	94.9335758	95.3238907	57	0.623442005	1
FGFR1OP_chr6_167416690	51.7073847	52.4718218	54	0.457983503	0
SLC6A3_chr5_1443271	61.7370692	62.5485487	77	0.606751186	0
OR52A5_chr11_5153530	7.0369358	6.9483228	0	0.313829219	0
GPRC5B_chr16_19884020	77.7411161	78.5001686	50	0.58152614	1
GABRD_chr1_1956387	94.948619	95.337059	76	0.637832901	1
PALB2_chr16_23614906	86.638468	87.2888969	78	0.549058125	1
HTR1A_chr5_63257467	71.9459448	72.756592	0	0.492324754	1
MSH2_chr2_47630381	18.8475803	19.1005811	0	0.076642279	0
TNFRSF21_chr6_47254032	26.4115812	26.8550186	37	0.603660252	0
IDH1_chr2_209113106	68.0264908	68.8390821	0	0.550503582	1
FOXO4_chrX_70316416	49.922074	50.6671168	60	0.691505838	1
GPR39_chr2_133175219	29.1838069	29.6856014	0	0.53943649	0
MCOLN1_chr19_7589969	76.8182822	77.573711	30	0.590079414	0
ERBB3_chr12_56477568	47.8433103	48.5769174	0	0.582446094	1
PAX7_chr1_18958105	36.5254413	37.1368039	0	0.518351591	1
FANCF_chr11_22647249	92.6941117	93.1813477	0	0.632914651	1
MC3R_chr20_54824354	93.1813012	93.6390166	0	0.707833186	1
MLH1_chr3_37035043	20.3093516	20.5922482	0	0.313026085	0
CTNNB1_chr3_41266954	36.4368412	37.0482476	0	0.5122331	0
CLCA2_chr1_86905867	97.4712677	97.6879892	91	0.772645167	1
CXCR6_chr3_45988493	83.3920129	84.1100147	0	0.539800971	1
CLCN7_chr16_1515311	4.983281	4.8732668	0	0.520304102	0
KCNQ4_chr1_41249989	90.7238397	91.2785028	49	0.513634952	1
ACVR1_chr2_158636893	44.2687438	44.9615817	22	0.542309047	1
EPHB4_chr7_100421316	90.4087805	90.9689032	0	0.735027238	1
CNGB3_chr8_87680282	8.4633114	8.4076545	35	0.147813836	0
OR56A4_chr11_6023761	0.5648943	0.5082934	61	0.561873381	0
RAMP2_chr17_40913286	62.6668717	63.4852483	0	0.38450213	0
KIAA1549_chr7_138603924	90.7029341	91.259226	85	0.588621601	1
GPR142_chr17_72363845	83.7428734	84.4560829	55	0.618445027	1
HRH1_chr3_11300869	69.9954907	70.7944535	69	0.654550111	1
CBLB_chr3_105586350	6.7875063	6.6922374	0	0.101973291	0
NFIB_chr9_14307457	20.3047612	20.5867614	48	0.432482878	0
OPRK1_chr8_54163569	80.2640966	81.0024237	61	0.556994232	1
DEK_chr6_18250048	13.3366812	13.428186	0	0.478758741	0
P2RX6_chr22_21377298	96.4984004	96.788563	37	0.741011584	1
P2RX2_chr12_133195470	77.9453054	78.6967409	68	0.701663247	0
CSF3R_chr1_36938254	92.6861292	93.173593	42	0.444705817	1
ASIC5_chr4_156784776	9.2601216	9.2312903	0	0.48016594	0
IL2RA_chr10_6067815	90.7151013	91.2699435	51	0.626234836	1
MUTYH_chr1_45799166	90.7062524	91.2617865	0	0.54550257	1
MLLT3_chr9_20620709	17.4576698	17.660709	0	0.509371942	0
GPR25_chr1_200842201	25.4242606	25.8487469	76	0.357314427	0
PRLHR_chr10_120354468	10.0354732	10.0362711	0	0.503012862	0
BRD3_chr9_136918569	90.6931633	91.249423	0	0.512613702	1
OR52B2_chr11_6191343	91.7592579	92.2820677	27	0.631759451	1
OR4K1_chr14_20404414	90.7154885	91.270419	71	0.688527961	1
ZNF331_chr19_54074874	20.2816618	20.5640828	0	0.692117029	0
CACNG5_chr17_64873516	91.4766264	92.0065592	90	0.683787234	1
GRM8_chr7_126883184	93.4044419	93.8565483	78	0.702582794	1
SLC6A2_chr16_55690612	61.4811136	62.283465	0	0.492300593	1
NT5C2_chr10_104849578	94.3874118	94.7997589	81	0.614172877	1
EDAR_chr2_109546671	92.0148633	92.5256799	88	0.671076321	1
MTCP1_chrX_154294216	43.0638499	43.7512025	0	0.628919905	0
LCP1_chr13_46730610	11.497392	11.5400822	0	0.345327212	0
ACVRL1_chr12_52307061	90.7093127	91.2648591	61	0.653421747	1
CASC5_chr15_40914351	15.5290431	15.6753433	0	0.34582476	0
CRHR1_chr17_43912034	93.3368213	93.7932311	81	0.647734116	0
OR8I2_chr11_55861244	63.7689335	64.5927325	0	0.338048289	1
GPR101_chrX_136113719	20.2872292	20.5687648	0	0.523581395	0
FBXW7_chr4_153303456	15.3269555	15.4669562	0	0.387322806	0
KCNH8_chr3_19389364	2.0985263	1.9701491	0	0.111545648	0
CCR7_chr17_38711954	24.5731769	24.9614281	0	0.497489772	0
ETV6_chr12_12022434	36.1918731	36.7952349	67	0.662815896	0
CARS_chr11_3062141	49.0020423	49.7356479	0	0.625940015	0
NTRK2_chr9_87285829	14.3443543	14.4628426	0	0.631254945	0
PTGER1_chr19_14585023	96.5363033	96.8245927	0	0.398312085	0
CDK6_chr7_92462589	88.7524431	89.3602219	71	0.672671451	1
GPRC6A_chr6_117127536	30.6910027	31.2063483	48	0.572956265	0
FEV_chr2_219846915	70.258673	71.0551112	0	0.469823026	1
GABRG1_chr4_46060576	48.6764012	49.4082347	63	0.558809298	0
FOXP1_chr3_71247439	81.2160583	81.9477192	60	0.576515485	1
CD27_chr12_6559446	90.7207057	91.2756863	51	0.51871222	1
PIK3R1_chr5_67522711	1.0959413	1.0075886	0	0.414833905	0
C5AR2_chr19_47844066	67.2886366	68.0967235	0	0.439105686	0
CYLD_chr16_50783723	20.3162833	20.5990152	0	0.149150327	0
SCNN1B_chr16_23364263	32.5639917	33.0939033	0	0.466691692	0
